topic_no,topic_words,word_weights
0,"singapore,india,indian,singaporean,case,work,china,permanent_resident,ceca,national,return,university,arrive,long,student,citizen,invest,term,family_member,country,world,nurse,education,short_term_pass_holder,rape,child,rank,kind,compare,relative","0.17754834957103388,0.13136542096844556,0.08814890213755998,0.06665697251708594,0.04228588047113567,0.02629053366293442,0.025505307546895447,0.02352770103242693,0.014744801512287334,0.012912607241529737,0.00959720808492075,0.008928311763850515,0.008259415442780282,0.007852261160389704,0.007794096262905337,0.007503271775483496,0.007445106877999127,0.0073287770830303915,0.007154282390577286,0.006863457903155445,0.006776210556928893,0.006020066889632107,0.005903737094663371,0.005729242402210266,0.004798604042460375,0.0046822742474916385,0.004216955067616693,0.004187872618874509,0.003955213028937037,0.0037225534389995637"
1,"government,world,minister,leader,nation,long,singapore,matter,live,answer,question,continue,blame,situation,parliament,pap,public,fail,smart,level,hand,system,culture,fact,happen,simply,nationality,rich,important,hide","0.037087224202433204,0.025628185112086487,0.022122720711697647,0.015170707278993726,0.01243114266356379,0.011665242878604884,0.011164462249977906,0.009367543523728164,0.008955135947211831,0.008483813002621734,0.008336524582437329,0.007865201637847232,0.007747370901699709,0.007717913217662828,0.007482251745367779,0.007305505641146493,0.006981471116740801,0.006952013432703921,0.006716351960408873,0.006686894276371992,0.006686894276371992,0.006598521224261349,0.006392317436003181,0.006097740595634372,0.005361298494712345,0.005243467758564822,0.005066721654343536,0.004889975550122249,0.004860517866085368,0.004831060182048487"
2,"country,covid,import,virus,stop,stay,open,die,money,land,ban,variant,blame,risk,care,spread,home,place,flight,family,reason,friend,infect,government,high,safe,buy,cb,pandemic,hospital","0.04419906496062992,0.02500615157480315,0.01842396653543307,0.01424089566929134,0.014148622047244094,0.013779527559055118,0.012672244094488189,0.01122662401574803,0.010703740157480315,0.009934793307086614,0.008581446850393701,0.007904773622047244,0.007874015748031496,0.007535679133858267,0.0073818897637795275,0.0072896161417322835,0.007105068897637796,0.006951279527559055,0.006951279527559055,0.006612942913385827,0.006520669291338582,0.006520669291338582,0.006243848425196851,0.006151574803149607,0.006059301181102362,0.006059301181102362,0.005905511811023622,0.005874753937007874,0.00562869094488189,0.005597933070866141"
3,"pap,party,issue,opposition,government,prime_minister,parliament,rule,support,general_election,lim_tean,power,policy,mp,lee_kuan_yew,video,action,wrong,political,wp,team,act,hold,follow,mistake,population,voice,lee_hsien_loong,president,real","0.039309766742781166,0.026331762869612974,0.024973263577766858,0.023152296441888025,0.021764892909789866,0.01586842789837269,0.013700609879469318,0.013382663236696823,0.012515536029135474,0.011446079139809811,0.010839090094516866,0.010665664653004597,0.010405526490736191,0.010289909529728011,0.008324421192588952,0.008208804231580774,0.008093187270572594,0.007977570309564414,0.007399485504523514,0.007370581264271469,0.007312772783767379,0.007283868543515334,0.007197155822759199,0.007081538861751019,0.006879209179986704,0.00650345405671012,0.00615660317368558,0.0059542734919212645,0.0056652310894008155,0.0056652310894008155"
4,"ceca,agreement,sign,singapore,abolish,benefit,country,government,number,deal,trade,singaporean,employment,company,investment,pass,pv,business,economic,national,fta,market,minister,set,worker,economy,share,gain,include,industry","0.1501885598248899,0.0212822068092513,0.019409794562092884,0.01927793454468736,0.018776866478546376,0.018434030433292017,0.013924417838023154,0.013212373744033334,0.010970753448139456,0.009414805242754292,0.009124713204462143,0.00904559719401883,0.008597273134840053,0.008175321079142383,0.00809620506869907,0.007964345051293547,0.007858857037369129,0.007436904981671458,0.006698488884200533,0.006645744877238324,0.0065138848598328015,0.006276536828502861,0.006197420818059548,0.00585458477280519,0.00585458477280519,0.005696352751918563,0.0056699807484374585,0.005432632717107519,0.00537988871014531,0.0049843086579287425"
5,"fake,debate,degree,word,challenge,white,totally,dare,support,respect,bully,lie,waste,black,trash,woman,leong,police,correct,certificate,son,fool,buy,god,sue,snake,master,sell,bunch,cheat","0.025503081480472607,0.020531853314719604,0.010419149443290544,0.009738159283598353,0.008614525520106234,0.008444277980183186,0.0077632878204909935,0.007490891756614117,0.007456842248629508,0.007286594708706459,0.00725254520072185,0.007150396676768021,0.0067077530729680954,0.006162960945214342,0.006094861929245123,0.005992713405291294,0.005992713405291294,0.005890564881337465,0.005856515373352855,0.005822465865368246,0.0054479212775375395,0.00541387176955293,0.005209574721645272,0.004800980625829957,0.0047669311178453475,0.004698832101876128,0.0046647825938915186,0.00449453505396847,0.004358337022030032,0.0042902380060608125"
6,"vote,pap,citizen,change,hope,lose,start,life,future,election,win,generation,child,citizenship,hard,fight,turn,wake,trust,vto,complain,chance,care,head,kick,stand,condo,song,voter,young","0.060575145061531596,0.05314671937767009,0.05171204488937066,0.01970286297264554,0.017694318689026333,0.016514697443091246,0.015462602818338328,0.015335076197156156,0.012975833705285978,0.011317987629917745,0.011317987629917745,0.010903526111075687,0.010552827902824715,0.010138366383982656,0.008703691895683223,0.008703691895683223,0.00854428361920551,0.007970413823885737,0.007555952305043678,0.007460307339157049,0.006854555888541733,0.006758910922655104,0.006567620990881847,0.0063763310591085885,0.006153159472039788,0.006089396161448702,0.005961869540266531,0.005706816297902187,0.005643052987311101,0.005611171332015558"
7,"problem,chinese,racist,point,understand,happen,race,bear,sad,group,suffer,racism,useless,face,truth,wrong,learn,day,majority,prc,listen,malay,mention,ang,choose,english,minority,fully,traitor,xenophobic","0.021937126628146116,0.02154539222407208,0.021186302353670878,0.015408219893578821,0.014787973753794927,0.014690040152776418,0.014428883883393726,0.01132765318447426,0.010185094505924983,0.009956582770215128,0.009793360101850945,0.008944602226357196,0.008585512355955996,0.00845493422126465,0.008357000620246139,0.008095844350863447,0.0077041099467894105,0.007410309143733882,0.007247086475369699,0.007247086475369699,0.007181797408024026,0.006430973133548787,0.006398328599875951,0.006300394998857441,0.0059739496621290765,0.005745437926419221,0.005614859791727875,0.00538634805601802,0.005190480853981001,0.005190480853981001"
8,"company,money,work,bank,news,person,hire,forget,report,general,ministry_manpower,engineer,db,school,business,st,system,experience,fact,earn,late,government,poor,bos,medium,sell,spend,check,choice,hard","0.020419011882426518,0.0199812382739212,0.01575984990619137,0.013289555972482802,0.009881175734834272,0.00941213258286429,0.009380863039399626,0.009099437148217636,0.008818011257035647,0.008411507191994997,0.008317698561601,0.00791119449656035,0.007410881801125703,0.007035647279549718,0.006848030018761726,0.006597873671044403,0.006441525953721076,0.0057535959974984365,0.00565978736710444,0.00559724828017511,0.00559724828017511,0.00559724828017511,0.005472170106316448,0.005347091932457786,0.005284552845528455,0.00525328330206379,0.005222013758599125,0.0051907442151344595,0.005034396497811132,0.0050031269543464665"
9,"job,singaporean,local,foreigner,pay,foreign,free_trade,high,low,work,talent,country,salary,worker,leave,policy,government,protect,home,cpf,serve,find,position,cost,increase,lose,create,cheap,employ,pmet","0.09642612624948652,0.07495549774065452,0.05778447213473915,0.042913871011912914,0.034533753252088184,0.029850746268656716,0.028207585923593043,0.021141996439819254,0.016404217444885662,0.015774339312611255,0.01569218129535807,0.015007531151581542,0.014706285088319868,0.013008352731754073,0.012844036697247707,0.011693824455703135,0.01068054224291387,0.0095303300013693,0.009256469943858689,0.008955223880597015,0.008708749828837464,0.008215801725318363,0.0076954676160481995,0.0076680816102971385,0.007585923593043955,0.007503765575790771,0.007421607558537587,0.007284677529782281,0.006956045460769547,0.006654799397507873"
